country_name,slug,median_age,date_of_information,ranking,region
"Sao Tome and Principe","sao-tome-and-principe","19.3","","204","Africa"
"Guinea","guinea","19.1","","205","Africa"
"Sierra Leone","sierra-leone","19.1","","206","Africa"
"Nigeria","nigeria","18.6","","207","Africa"
"South Sudan","south-sudan","18.6","","208","Africa"
"Cameroon","cameroon","18.5","","209","Africa"
"Somalia","somalia","18.5","","210","Africa"
"Sudan","sudan","18.3","","211","Africa"
"Tanzania","tanzania","18.2","","212","Africa"
"Gaza Strip","gaza-strip","18.0","","213","Middle East"
"Guinea-Bissau","guinea-bissau","18.0","","214","Africa"
"Liberia","liberia","18.0","","215","Africa"
"Burkina Faso","burkina-faso","17.9","","216","Africa"
"Burundi","burundi","17.7","","217","Africa"
"Benin","benin","17.0","","218","Africa"
"Mozambique","mozambique","17.0","","219","Africa"
"Zambia","zambia","16.9","","220","Africa"
"Malawi","malawi","16.8","","221","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","16.7","","222","Africa"
"Chad","chad","16.1","","223","Africa"
"Mali","mali","16.0","","224","Africa"
"Angola","angola","15.9","","225","Africa"
"Uganda","uganda","15.7","","226","Africa"
"Niger","niger","14.8","","227","Africa"
